nombre|plataforma|año|genero|publisher|ventas_globales
Call of Duty: Black Ops 3|PS4|2015|Shooter|Activision|14.24
FIFA 16|PS4|2015|Sports|Electronic Arts|8.49
Star Wars Battlefront (2015)|PS4|2015|Shooter|Electronic Arts|7.67
Call of Duty: Black Ops 3|XOne|2015|Shooter|Activision|7.3
Fallout 4|PS4|2015|Role-Playing|Bethesda Softworks|6.96
FIFA 17|PS4|2016|Sports|Electronic Arts|4.77
Uncharted: The Nathan Drake Collection|PS4|2015|Action|Sony Computer Entertainment|4.47
Halo 5: Guardians|XOne|2015|Shooter|Microsoft Game Studios|4.26
Uncharted 4: A Thief's End|PS4|2016|Shooter|Sony Computer Entertainment|4.2
Fallout 4|XOne|2015|Role-Playing|Bethesda Softworks|4.09
NBA 2K16|PS4|2015|Sports|Take-Two Interactive|3.85
Batman: Arkham Knight|PS4|2015|Action|Warner Bros. Interactive Entertainment|3.79
The Witcher 3: Wild Hunt|PS4|2015|Role-Playing|Namco Bandai Games|3.73
Tom Clancy's The Division|PS4|2016|Shooter|Ubisoft|3.61
Star Wars Battlefront (2015)|XOne|2015|Shooter|Electronic Arts|3.49
Metal Gear Solid V: The Phantom Pain|PS4|2015|Action|Konami Digital Entertainment|3.38
Assassin's Creed Syndicate|PS4|2015|Action|Ubisoft|3.28
FIFA 16|XOne|2015|Sports|Electronic Arts|3.23
Madden NFL 16|PS4|2015|Sports|Electronic Arts|3.22
Gears of War: Ultimate Edition|XOne|2015|Shooter|Microsoft Game Studios|3.0
FIFA 16|PS3|2015|Sports|Electronic Arts|2.85
Mortal Kombat X|PS4|2015|Fighting|Warner Bros. Interactive Entertainment|2.7
Madden NFL 16|XOne|2015|Sports|Electronic Arts|2.4
Need for Speed (2015)|PS4|2015|Racing|Electronic Arts|2.39
Bloodborne|PS4|2015|Action|Sony Computer Entertainment|2.38
NBA 2K16|XOne|2015|Sports|Take-Two Interactive|2.32
Tom Clancy's Rainbow Six: Siege|PS4|2015|Shooter|Ubisoft|2.15
Far Cry: Primal|PS4|2016|Action|Ubisoft|2.13
Battlefield: Hardline|PS4|2015|Shooter|Electronic Arts|2.09
Tom Clancy's The Division|XOne|2016|Shooter|Ubisoft|2.01
Destiny: The Taken King|PS4|2015|Shooter|Activision|1.91
Just Cause 3|PS4|2015|Action|Square Enix|1.83
Call of Duty: Black Ops 3|PS3|2015|Shooter|Activision|1.79
Call of Duty: Black Ops 3|X360|2015|Shooter|Activision|1.76
Forza Motorsport 6|XOne|2015|Racing|Microsoft Game Studios|1.74
Overwatch|PS4|2016|Shooter|Activision|1.73
The Order: 1886|PS4|2015|Shooter|Sony Computer Entertainment|1.72
The Elder Scrolls Online|PS4|2015|Role-Playing|Bethesda Softworks|1.72
FIFA 16|X360|2015|Sports|Electronic Arts|1.69
Dying Light|PS4|2015|Action|Warner Bros. Interactive Entertainment|1.66
Until Dawn|PS4|2015|Adventure|Sony Computer Entertainment Europe|1.64
No Man's Sky|PS4|2016|Action|Hello Games|1.6
Dark Souls III|PS4|2016|Role-Playing|Namco Bandai Games|1.56
FIFA 17|XOne|2016|Sports|Electronic Arts|1.53
Batman: Arkham Knight|XOne|2015|Action|Warner Bros. Interactive Entertainment|1.45
Doom (2016)|PS4|2016|Shooter|Bethesda Softworks|1.39
Mortal Kombat X|XOne|2015|Fighting|Warner Bros. Interactive Entertainment|1.35
Rise of the Tomb Raider|XOne|2015|Adventure|Square Enix|1.3
Tom Clancy's Rainbow Six: Siege|XOne|2015|Shooter|Ubisoft|1.29
Assassin's Creed Syndicate|XOne|2015|Action|Ubisoft|1.28
The Elder Scrolls Online|XOne|2015|Role-Playing|Bethesda Softworks|1.27
The Witcher 3: Wild Hunt|XOne|2015|Role-Playing|Namco Bandai Games|1.24
Madden NFL 17|PS4|2016|Sports|Electronic Arts|1.23
Battlefield: Hardline|XOne|2015|Shooter|Electronic Arts|1.2
WWE 2K16|PS4|2015|Sports|Take-Two Interactive|1.2
NBA 2K17|PS4|2016|Sports|Take-Two Interactive|1.19
Ratchet & Clank (2016)|PS4|2016|Platform|Sony Computer Entertainment|1.17
Destiny: The Taken King|XOne|2015|Shooter|Activision|1.17
Mad Max (2015)|PS4|2015|Action|Warner Bros. Interactive Entertainment|1.11
Naruto Shippuden: Ultimate Ninja Storm 4|PS4|2016|Fighting|Namco Bandai Games|1.06
Dragon Ball: XenoVerse|PS4|2015|Fighting|Namco Bandai Games|1.05
Project CARS|PS4|2015|Racing|Slightly Mad Studios|1.04
Madden NFL 16|X360|2015|Sports|Electronic Arts|0.98
Final Fantasy Type-0|PS4|2015|Role-Playing|Square Enix|0.97
NBA 2K16|X360|2015|Sports|Take-Two Interactive|0.97
LEGO Jurassic World|X360|2015|Action|Warner Bros. Interactive Entertainment|0.95
Evolve|PS4|2015|Shooter|Take-Two Interactive|0.95
LEGO Jurassic World|PS3|2015|Action|Warner Bros. Interactive Entertainment|0.93
MLB 15: The Show|PS4|2015|Sports|Sony Computer Entertainment|0.92
Minecraft: Story Mode|X360|2015|Adventure|Mojang|0.91
LEGO Jurassic World|PS4|2015|Action|Warner Bros. Interactive Entertainment|0.89
EA Sports UFC 2|PS4|2016|Sports|Electronic Arts|0.89
Just Cause 3|XOne|2015|Action|Square Enix|0.88
Far Cry: Primal|XOne|2016|Action|Ubisoft|0.85
Overwatch|XOne|2016|Shooter|Activision|0.85
MLB 16: The Show|PS4|2016|Action|Sony Computer Entertainment|0.84
Borderlands: The Handsome Collection|PS4|2015|Shooter|Take-Two Interactive|0.84
Madden NFL 17|XOne|2016|Sports|Electronic Arts|0.82
Street Fighter V|PS4|2016|Fighting|Capcom|0.82
Madden NFL 16|PS3|2015|Sports|Electronic Arts|0.82
Guitar Hero Live|PS4|2015|Misc|Activision|0.81
Dying Light|XOne|2015|Action|Warner Bros. Interactive Entertainment|0.81
NBA 2K16|PS3|2015|Sports|Take-Two Interactive|0.8
Pro Evolution Soccer 2016|PS4|2015|Sports|Konami Digital Entertainment|0.78
Rare Replay|XOne|2015|Misc|Microsoft Game Studios|0.75
Dragon Quest Heroes: The World's Tree Woe and the Blight Below|PS4|2015|Action|Square Enix|0.71
Final Fantasy X/X-2 HD Remaster|PS4|2015|Role-Playing|Square Enix|0.71
Metal Gear Solid V: The Phantom Pain|XOne|2015|Action|Konami Digital Entertainment|0.71
Metal Gear Solid V: The Phantom Pain|PS3|2015|Action|Konami Digital Entertainment|0.7
Minecraft: Story Mode|PS3|2015|Adventure|Mojang|0.69
Disney Infinity 3.0|PS4|2015|Action|Disney Interactive Studios|0.68
Doom (2016)|XOne|2016|Shooter|Bethesda Softworks|0.68
Need for Speed (2015)|XOne|2015|Racing|Electronic Arts|0.68
Minecraft: Story Mode|PS4|2015|Adventure|Mojang|0.67
F1 2015|PS4|2015|Racing|Codemasters|0.66
NBA 2K17|XOne|2016|Sports|Take-Two Interactive|0.64
LEGO Marvel's Avengers|PS4|2016|Action|Warner Bros. Interactive Entertainment|0.64
LEGO Dimensions|PS4|2015|Action|Warner Bros. Interactive Entertainment|0.64
God of War III|PS4|2015|Action|Sony Computer Entertainment|0.63
LEGO Jurassic World|XOne|2015|Action|Warner Bros. Interactive Entertainment|0.63
Evolve|XOne|2015|Shooter|Take-Two Interactive|0.62
NHL 16|PS4|2015|Sports|Electronic Arts|0.61
Tales of Zestiria|PS3|2015|Role-Playing|Namco Bandai Games|0.59
Dark Souls II|PS4|2015|Role-Playing|Namco Bandai Games|0.59
WWE 2K16|XOne|2015|Sports|Take-Two Interactive|0.58
WWE 2K16|PS3|2015|Sports|Take-Two Interactive|0.58
LEGO Dimensions|X360|2015|Action|Warner Bros. Interactive Entertainment|0.56
Dragon Ball: XenoVerse|PS3|2015|Fighting|Namco Bandai Games|0.55
LEGO Dimensions|PS3|2015|Action|Warner Bros. Interactive Entertainment|0.54
Minecraft: Story Mode|XOne|2015|Adventure|Mojang|0.54
Resident Evil: Revelations 2|PS4|2015|Action|Capcom|0.54
Lego Star Wars: The Force Awakens|PS4|2016|Action|Warner Bros. Interactive Entertainment|0.54
Quantum Break|XOne|2016|Action|Microsoft Game Studios|0.51
Rory McIlroy PGA Tour|PS4|2015|Action|Electronic Arts|0.51
Guitar Hero Live|XOne|2015|Misc|Activision|0.51
WWE 2K16|X360|2015|Sports|Take-Two Interactive|0.5
Dragon Quest Heroes: The World's Tree Woe and the Blight Below|PS3|2015|Action|Square Enix|0.49
Battlefield: Hardline|PS3|2015|Shooter|Electronic Arts|0.49
Disney Infinity 3.0|PS3|2015|Action|Disney Interactive Studios|0.47
NHL 16|XOne|2015|Sports|Electronic Arts|0.47
Farming Simulator 2015|PS3|2015|Simulation|Koch Media|0.46
Mad Max (2015)|XOne|2015|Action|Warner Bros. Interactive Entertainment|0.46
Skylanders: SuperChargers|X360|2015|Action|Activision|0.46
Plants vs. Zombies: Garden Warfare 2|PS4|2016|Shooter|Electronic Arts|0.45
Pro Evolution Soccer 2016|PS3|2015|Sports|Konami Digital Entertainment|0.45
One Piece: Pirate Warriors 3|PS4|2015|Action|Namco Bandai Games|0.45
Disney Infinity 3.0|X360|2015|Action|Disney Interactive Studios|0.44
Plants vs. Zombies: Garden Warfare 2|XOne|2016|Shooter|Electronic Arts|0.44
Rock Band 4|XOne|2015|Misc|Harmonix Music Systems|0.43
Wolfenstein: The Old Blood|PS4|2015|Action|Bethesda Softworks|0.42
Destiny: The Taken King|PS3|2015|Shooter|Activision|0.41
Farming Simulator 2015|X360|2015|Simulation|Koch Media|0.41
Borderlands: The Handsome Collection|XOne|2015|Shooter|Take-Two Interactive|0.41
EA Sports UFC 2|XOne|2016|Sports|Electronic Arts|0.4
Rise of the Tomb Raider|X360|2015|Adventure|Square Enix|0.4
Skylanders: SuperChargers|PS3|2015|Action|Activision|0.39
MLB 15: The Show|PS3|2015|Sports|Sony Computer Entertainment|0.39
Saints Row IV|PS4|2015|Action|Deep Silver|0.38
Destiny: The Taken King|X360|2015|Shooter|Activision|0.38
Forza Horizon 3|XOne|2016|Racing|Microsoft Game Studios|0.38
Tales of Zestiria|PS4|2015|Role-Playing|Namco Bandai Games|0.38
FIFA 17|PS3|2016|Sports|Electronic Arts|0.38
Life is Strange|PS4|2016|Adventure|Square Enix|0.37
LEGO Dimensions|XOne|2015|Action|Warner Bros. Interactive Entertainment|0.37
Dishonored|PS4|2015|Action|Bethesda Softworks|0.37
Rock Band 4|PS4|2015|Misc|Harmonix Music Systems|0.37
Resident Evil Zero|PS4|2016|Action|Capcom|0.36
Just Dance 2016|X360|2015|Misc|Ubisoft|0.36
Dark Souls III|XOne|2016|Role-Playing|Namco Bandai Games|0.35
Farming Simulator 2015|PS4|2015|Simulation|Koch Media|0.35
Just Dance 2016|PS4|2015|Misc|Ubisoft|0.35
LEGO Marvel's Avengers|X360|2016|Action|Warner Bros. Interactive Entertainment|0.34
Persona 5|PS4|2016|Role-Playing|Atlus|0.34
Battlefield: Hardline|X360|2015|Shooter|Electronic Arts|0.34
Dead or Alive 5|PS4|2015|Fighting|Tecmo Koei|0.33
Deus Ex: Mankind Divided|PS4|2016|Role-Playing|Square Enix|0.33
Resident Evil: Revelations 2|PS3|2015|Action|Capcom|0.32
LEGO Marvel's Avengers|XOne|2016|Action|Warner Bros. Interactive Entertainment|0.32
TrackMania Turbo|PS4|2016|Action|Ubisoft|0.32
DiRT Rally|PS4|2016|Racing|Codemasters|0.32
Mirror's Edge Catalyst|PS4|2016|Platform|Electronic Arts|0.32
Just Dance 2016|XOne|2015|Misc|Ubisoft|0.32
LEGO Marvel's Avengers|PS3|2016|Action|Warner Bros. Interactive Entertainment|0.32
Dragon Ball: XenoVerse|XOne|2015|Fighting|Namco Bandai Games|0.31
Homefront: The Revolution|PS4|2016|Shooter|Deep Silver|0.31
Disney Infinity 3.0|XOne|2015|Action|Disney Interactive Studios|0.31
DmC: Devil May Cry|PS4|2015|Action|Capcom|0.3
Tropico 5|PS4|2015|Simulation|Kalypso Media|0.3
Skylanders: SuperChargers|PS4|2015|Action|Activision|0.3
Star Ocean 5: Integrity and Faithlessness|PS4|2016|Role-Playing|Square Enix|0.3
One Piece: Pirate Warriors 3|PS3|2015|Action|Namco Bandai Games|0.29
One Piece: Burning Blood|PS4|2016|Fighting|Namco Bandai Games|0.28
Pro Evolution Soccer 2017|PS4|2016|Sports|Konami Digital Entertainment|0.28
Naruto Shippuden: Ultimate Ninja Storm 4|XOne|2016|Fighting|Namco Bandai Games|0.28
Guitar Hero Live|PS3|2015|Misc|Activision|0.28
Dragon Quest Heroes II: Twin Kings and the Prophecy's End|PS4|2016|Action|Square Enix|0.28
UEFA Euro 2016|PS4|2016|Sports|Konami Digital Entertainment|0.28
Deadpool|PS4|2015|Action|Activision|0.28
Divinity: Original Sin|PS4|2015|Role-Playing|Focus Home Interactive|0.27
Disgaea 5: Alliance of Vengeance|PS4|2015|Role-Playing|Nippon Ichi Software|0.27
Dragon Ball: XenoVerse|X360|2015|Fighting|Namco Bandai Games|0.27
F1 2016 (Codemasters)|PS4|2016|Racing|Codemasters|0.27
Payday 2|PS4|2015|Shooter|505 Games|0.27
Rory McIlroy PGA Tour|XOne|2015|Action|Electronic Arts|0.27
Tearaway Unfolded|PS4|2015|Platform|Sony Computer Entertainment|0.25
J Stars Victory Vs.|PS4|2015|Fighting|Namco Bandai Games|0.25
Final Fantasy Type-0|XOne|2015|Role-Playing|Square Enix|0.25
Yakuza Zero: The Place of Oath|PS3|2015|Action|Sega|0.25
F1 2015|XOne|2015|Racing|Codemasters|0.24
Lego Star Wars: The Force Awakens|XOne|2016|Action|Warner Bros. Interactive Entertainment|0.24
Guitar Hero Live|X360|2015|Misc|Activision|0.24
Sword Art Online: Lost Song|PS4|2015|Role-Playing|Namco Bandai Games|0.23
Skylanders: SuperChargers|XOne|2015|Action|Activision|0.23
Project CARS|XOne|2015|Racing|Slightly Mad Studios|0.23
Rocket League|PS4|2016|Sports|505 Games|0.23
Dark Souls II|XOne|2015|Role-Playing|Namco Bandai Games|0.22
Battleborn|PS4|2016|Shooter|Take-Two Interactive|0.22
Dragon Quest Builders: Revive Alefgard|PS4|2016|Role-Playing|Square Enix|0.22
Tales of Berseria|PS4|2016|Role-Playing|Namco Bandai Games|0.22
Transformers: Devastation|PS4|2015|Action|Activision|0.22
Just Dance 2016|PS3|2015|Misc|Ubisoft|0.22
Darksiders II|PS4|2015|Action|Nordic Games|0.22
Ride|PS4|2015|Racing|Milestone S.r.l.|0.22
Metal Gear Solid V: The Phantom Pain|X360|2015|Action|Konami Digital Entertainment|0.21
Attack on Titan (KOEI)|PS4|2016|Action|Tecmo Koei|0.2
State of Decay|XOne|2015|Strategy|Microsoft Game Studios|0.2
NHL 17|PS4|2016|Sports|Electronic Arts|0.2
Saints Row IV|XOne|2015|Action|Deep Silver|0.2
Tony Hawk's Pro Skater 5|PS4|2015|Sports|Activision|0.2
BioShock The Collection|PS4|2016|Shooter|Take-Two Interactive|0.2
Zombie Army Trilogy|PS4|2015|Shooter|Rebellion Developments|0.2
Farming Simulator 2015|XOne|2015|Simulation|Koch Media|0.19
The Heavy Rain and Beyond: Two Souls Collection|PS4|2016|Action|Sony Computer Entertainment|0.19
Odin Sphere: Leifthrasir|PS4|2016|Role-Playing|Nippon Ichi Software|0.18
FIFA 17|X360|2016|Sports|Electronic Arts|0.18
Back to the Future: The Game|PS4|2015|Adventure|Telltale Games|0.17
Yakuza Zero: The Place of Oath|PS4|2015|Action|Sega|0.17
NBA Live 16|PS4|2015|Sports|Electronic Arts|0.17
MotoGP 15|PS4|2015|Racing|Milestone S.r.l.|0.17
Jikkyou Powerful Pro Baseball 2016|PS4|2016|Sports|Konami Digital Entertainment|0.17
Valkyria Chronicles|PS4|2016|Role-Playing|Sega|0.17
Toukiden Kiwami|PS4|2015|Action|Tecmo Koei|0.17
Payday 2|XOne|2015|Shooter|505 Games|0.17
NASCAR '15|X360|2015|Sports|Deep Silver|0.17
Senran Kagura: Estival Versus|PS4|2015|Action|Marvelous Interactive|0.17
MLB 16: The Show|PS3|2016|Action|Sony Computer Entertainment|0.16
Bladestorm: Nightmare|PS4|2015|Action|Tecmo Koei|0.16
Yakuza Kiwami|PS4|2016|Adventure|Sega|0.16
NHL 17|XOne|2016|Sports|Electronic Arts|0.15
Wolfenstein: The Old Blood|XOne|2015|Action|Bethesda Softworks|0.15
Saint Seiya: Soldiers' Soul|PS4|2015|Fighting|Namco Bandai Games|0.15
3rd Super Robot Wars Z: Tengoku-Hen|PS3|2015|Action|Namco Bandai Games|0.15
Mirror's Edge Catalyst|XOne|2016|Platform|Electronic Arts|0.15
Pro Baseball Spirits 2015|PS3|2015|Action|Konami Digital Entertainment|0.15
Deus Ex: Mankind Divided|XOne|2016|Role-Playing|Square Enix|0.15
Dishonored|XOne|2015|Action|Bethesda Softworks|0.14
BlazBlue: Chrono Phantasma Extend|PS4|2015|Action|PQube|0.14
Transformers: Devastation|XOne|2015|Action|Activision|0.13
DmC: Devil May Cry|XOne|2015|Action|Capcom|0.13
Rugby 15|PS3|2015|Sports|Bigben Interactive|0.13
Hasbro Family Fun Pack|XOne|2015|Misc|Ubisoft|0.13
Brothers: A Tale of Two Sons|PS4|2015|Adventure|505 Games|0.13
Dragon Quest Heroes II: Twin Kings and the Prophecy's End|PS3|2016|Action|Square Enix|0.13
Pro Evolution Soccer 2016|X360|2015|Sports|Konami Digital Entertainment|0.13
Gravity Rush Remastered|PS4|2015|Action|Sony Computer Entertainment|0.13
Battleborn|XOne|2016|Shooter|Take-Two Interactive|0.13
Lego Star Wars: The Force Awakens|PS3|2016|Action|Warner Bros. Interactive Entertainment|0.12
Homefront: The Revolution|XOne|2016|Shooter|Deep Silver|0.12
Rocket League|XOne|2016|Sports|505 Games|0.12
Final Fantasy XIV: Heavensward|PS4|2015|Action|Square Enix|0.12
WRC 5: FIA World Rally Championship|PS3|2015|Sports|Bigben Interactive|0.12
7 Days to Die|PS4|2016|Action|Telltale Games|0.12
Dragon Quest Builders: Revive Alefgard|PS3|2016|Role-Playing|Square Enix|0.12
Don Bradman Cricket 14|PS4|2015|Sports|Tru Blu Entertainment|0.12
Yakuza Kiwami|PS3|2016|Adventure|Sega|0.12
Deadpool|XOne|2015|Action|Activision|0.12
Sword Art Online: Hollow Fragment|PS4|2015|Role-Playing|Namco Bandai Games|0.12
Dead Island Definitive Collection|PS4|2016|Action|Deep Silver|0.12
Tony Hawk's Pro Skater 5|XOne|2015|Sports|Activision|0.11
DiRT Rally|XOne|2016|Racing|Codemasters|0.11
UEFA Euro 2016|PS3|2016|Sports|Konami Digital Entertainment|0.11
Life is Strange|XOne|2016|Adventure|Square Enix|0.11
Samurai Warriors 4-II|PS4|2015|Action|Tecmo Koei|0.11
Samurai Warriors 4-II|PS3|2015|Action|Tecmo Koei|0.11
Jikkyou Powerful Pro Baseball 2016|PS3|2016|Sports|Konami Digital Entertainment|0.11
Tales of Berseria|PS3|2016|Role-Playing|Namco Bandai Games|0.11
Transformers: Devastation|PS3|2015|Action|Activision|0.11
Digimon Story: Cyber Sleuth|PS4|2016|Role-Playing|Namco Bandai Games|0.11
Rugby 15|PS4|2015|Sports|Bigben Interactive|0.11
