nombre|plataforma|año|genero|publisher|ventas_globales
Lego Star Wars: The Force Awakens|X360|2016|Action|Warner Bros. Interactive Entertainment|0.11
Adventure Time: Finn & Jake Investigations|PS3|2015|Action|Little Orbit|0.1
Zombie Army Trilogy|XOne|2015|Shooter|Rebellion Developments|0.1
God Eater 2: Rage Burst|PS4|2015|Role-Playing|Namco Bandai Games|0.1
Pro Evolution Soccer 2016|XOne|2015|Sports|Konami Digital Entertainment|0.1
Wasteland 2|PS4|2015|Role-Playing|Deep Silver|0.1
NBA Live 16|XOne|2015|Sports|Electronic Arts|0.1
Atelier Sophie: The Alchemist of the Mysterious Book|PS4|2015|Role-Playing|Tecmo Koei|0.1
Sword Art Online: Lost Song|PS3|2015|Role-Playing|Namco Bandai Games|0.1
Earth Defense Force 2025.1: The Shadow of New Despair|PS4|2015|Action|D3Publisher|0.1
Ride|XOne|2015|Racing|Milestone S.r.l.|0.1
Ultra Street Fighter IV|PS4|2015|Fighting|Capcom|0.1
Persona 5|PS3|2016|Role-Playing|Unknown|0.1
Resident Evil: Revelations 2|XOne|2015|Action|Capcom|0.1
ReCore|XOne|2016|Action|Microsoft Game Studios|0.1
Gundam Breaker 3|PS4|2016|Action|Namco Bandai Games|0.09
The King of Fighters XIV|PS4|2016|Fighting|Deep Silver|0.09
Adventure Time: Finn & Jake Investigations|X360|2015|Action|Little Orbit|0.09
The Crew: Wild Run|PS4|2015|Action|Ubisoft|0.09
Devil May Cry 4|PS4|2015|Action|Capcom|0.09
The Idolmaster: Platinum Stars|PS4|2016|Simulation|Namco Bandai Games|0.09
Transformers: Devastation|X360|2015|Action|Activision|0.09
Super Robot Wars OG: The Moon Dwellers|PS4|2016|Misc|Namco Bandai Games|0.09
Samurai Warriors 4: Empires|PS4|2015|Action|Tecmo Koei|0.09
F1 2016 (Codemasters)|XOne|2016|Racing|Codemasters|0.09
Sengoku Basara 4: Sumeragi|PS3|2015|Action|Capcom|0.09
Resident Evil: Revelations 2|X360|2015|Action|Capcom|0.09
SpongeBob: HeroPants|X360|2015|Platform|Activision|0.09
Adventure Time: Finn & Jake Investigations|PS4|2015|Action|Little Orbit|0.09
Rugby 15|XOne|2015|Sports|Bigben Interactive|0.09
Arslan: The Warriors of Legend|PS4|2015|Action|Tecmo Koei|0.08
Dead or Alive 5|XOne|2015|Fighting|Tecmo Koei|0.08
Ride|PS3|2015|Racing|Milestone S.r.l.|0.08
God Eater Resurrection|PS4|2015|Action|Namco Bandai Games|0.08
Toukiden 2|PS4|2016|Action|Tecmo Koei|0.08
The Witch and the Hundred Knight|PS4|2015|Role-Playing|Nippon Ichi Software|0.08
MXGP 2|PS4|2016|Racing|Milestone S.r.l.|0.08
BioShock The Collection|XOne|2016|Shooter|Take-Two Interactive|0.08
Madden NFL 17|X360|2016|Sports|Electronic Arts|0.08
Assassin's Creed Chronicles|PS4|2016|Action|Ubisoft|0.08
Dragon's Dogma Online|PS4|2015|Role-Playing|Capcom|0.08
Madden NFL 17|PS3|2016|Sports|Electronic Arts|0.08
Shovel Knight|PS4|2015|Platform|Yacht Club Games|0.08
Yoru no Nai Kuni|PS4|2015|Role-Playing|Tecmo Koei|0.08
Mega Man Legacy Collection|PS4|2016|Platform|Capcom|0.07
Resident Evil Zero|XOne|2016|Action|Capcom|0.07
Teenage Mutant Ninja Turtles: Mutants in Manhattan|PS4|2016|Action|Activision|0.07
Just Dance: Disney Party 2|X360|2015|Action|Ubisoft|0.07
Rugby World Cup 2015|PS3|2015|Sports|Ubisoft|0.07
Guilty Gear Xrd -Revelator-|PS4|2016|Fighting|PQube|0.07
MotoGP 15|PS3|2015|Racing|Milestone S.r.l.|0.07
Guilty Gear Xrd -Revelator-|PS3|2016|Fighting|PQube|0.07
Divinity: Original Sin|XOne|2015|Role-Playing|Focus Home Interactive|0.07
Toy Soldiers: War Chest|PS4|2015|Action|Ubisoft|0.07
Grand Ages: Medieval|PS4|2015|Strategy|Kalypso Media|0.07
Monster High: New Ghoul in School|PS3|2015|Action|Little Orbit|0.07
Just Dance: Disney Party 2|XOne|2015|Action|Ubisoft|0.07
Resident Evil 6|PS4|2016|Shooter|Capcom|0.07
Tony Hawk's Pro Skater 5|X360|2015|Sports|Activision|0.07
The Book of Unwritten Tales 2|PS4|2015|Adventure|Nordic Games|0.07
Fairy Fencer F: Advent Dark Force|PS4|2015|Role-Playing|Idea Factory International|0.07
Broken Sword 5: The Serpent's Curse|PS4|2015|Adventure|Revolution Software|0.06
Legend of Kay|PS4|2015|Action|Nordic Games|0.06
Song of the Deep|PS4|2016|Action|Insomniac Games|0.06
Valentino Rossi: The Game|PS4|2016|Racing|Namco Bandai Games|0.06
Pro Evolution Soccer 2017|PS3|2016|Sports|Konami Digital Entertainment|0.06
Risen 3: Titan Lords|PS4|2015|Role-Playing|Deep Silver|0.06
Odin Sphere: Leifthrasir|PS3|2016|Role-Playing|Nippon Ichi Software|0.06
BlazBlue: Chrono Phantasma Extend|XOne|2015|Action|PQube|0.06
Destiny: The Collection|PS4|2016|Shooter|Activision|0.06
Darksiders II|XOne|2015|Action|Nordic Games|0.06
Attack on Titan (KOEI)|PS3|2016|Action|Tecmo Koei|0.06
TrackMania Turbo|XOne|2016|Action|Ubisoft|0.06
Super Robot Wars OG: The Moon Dwellers|PS3|2016|Misc|Namco Bandai Games|0.06
Game of Thrones (Telltale)|PS3|2015|Adventure|Telltale Games|0.06
Project Setsuna|PS4|2016|Role-Playing|Square Enix|0.06
Romance of the Three Kingdoms 13|PS4|2015|Action|Tecmo Koei|0.06
Utawarerumono: Itsuwari no Kamen|PS4|2015|Adventure|Aqua Plus|0.06
Rugby World Cup 2015|PS4|2015|Sports|Ubisoft|0.06
Nights of Azure|PS4|2015|Action|Tecmo Koei|0.06
Samurai Warriors 4: Empires|PS3|2015|Action|Tecmo Koei|0.06
MX vs. ATV Supercross Encore|PS4|2015|Sports|Nordic Games|0.06
Tony Hawk's Pro Skater 5|PS3|2015|Sports|Activision|0.06
Handball 16|PS4|2015|Sports|Bigben Interactive|0.06
Grand Kingdom|PS4|2015|Role-Playing|Nippon Ichi Software|0.06
NHL Legacy|X360|2015|Action|Electronic Arts|0.05
Kamen Rider: Battride War Genesis|PS4|2016|Action|Namco Bandai Games|0.05
NBA 2K17|X360|2016|Sports|Take-Two Interactive|0.05
Rugby 15|X360|2015|Sports|Bigben Interactive|0.05
ZombiU|PS4|2016|Action|Ubisoft|0.05
Teenage Mutant Ninja Turtles: Mutants in Manhattan|PS3|2016|Action|Activision|0.05
Arcania: Gothic 4|PS4|2015|Role-Playing|Nordic Games|0.05
Toy Soldiers: War Chest|XOne|2015|Action|Ubisoft|0.05
Dead or Alive Xtreme 3: Fortune|PS4|2016|Sports|Tecmo Koei|0.05
WRC 5: FIA World Rally Championship|PS4|2015|Sports|Bigben Interactive|0.05
Earth Defense Force 4.1: The Shadow of New Despair|PS4|2015|Shooter|Xseed Games|0.05
Assetto Corsa|PS4|2016|Racing|505 Games|0.05
The Technomancer|PS4|2016|Role-Playing|Focus Home Interactive|0.05
Steins;Gate 0|PS4|2015|Adventure|PQube|0.05
Adventure Time: Finn & Jake Investigations|XOne|2015|Action|Little Orbit|0.05
Sengoku Basara 4: Sumeragi|PS4|2015|Action|Capcom|0.05
Pro Cycling Manager 2016|PS4|2016|Sports|Focus Home Interactive|0.05
MXGP 2|XOne|2016|Racing|Milestone S.r.l.|0.05
Bladestorm: Nightmare|XOne|2015|Action|Tecmo Koei|0.05
NBA 2K17|PS3|2016|Sports|Take-Two Interactive|0.05
Sword Art Online: Game Director's Edition|PS4|2015|Role-Playing|Namco Bandai Games|0.05
Saints Row: Gat out of Hell|PS4|2015|Action|Deep Silver|0.05
Wasteland 2|XOne|2015|Role-Playing|Deep Silver|0.05
Handball 16|PS3|2015|Sports|Bigben Interactive|0.05
Utawarerumono: Itsuwari no Kamen|PS3|2015|Adventure|Aqua Plus|0.05
Game of Thrones (Telltale)|PS4|2015|Adventure|Telltale Games|0.05
Rugby World Cup 2015|X360|2015|Sports|Ubisoft|0.05
Arslan: The Warriors of Legend|PS3|2015|Action|Tecmo Koei|0.05
Yoru no Nai Kuni|PS3|2015|Role-Playing|Tecmo Koei|0.05
Mighty No. 9|PS4|2016|Platform|Deep Silver|0.05
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden|PS4|2016|Misc|Tecmo Koei|0.04
Dead Island Definitive Collection|XOne|2016|Action|Deep Silver|0.04
Rugby Challenge 3|PS3|2016|Sports|Alternative Software|0.04
Sébastien Loeb Rally Evo|PS4|2016|Racing|Milestone S.r.l|0.04
R.B.I. Baseball 2016|XOne|2016|Sports|MLB.com|0.04
Utawarerumono: Futari no Hakuoro|PS4|2016|Misc|Aqua Plus|0.04
Kamen Rider: Battride War Genesis|PS3|2016|Action|Namco Bandai Games|0.04
Hitman (2016)|PS4|2016|Action|Square Enix|0.04
Saint Seiya: Soldiers' Soul|PS3|2015|Fighting|Namco Bandai Games|0.04
7 Days to Die|XOne|2016|Action|Telltale Games|0.04
Nitroplus Blasterz: Heroines Infinite Duel|PS4|2015|Fighting|Marvelous Interactive|0.04
XCOM 2|PS4|2016|Strategy|Take-Two Interactive|0.04
One Piece: Burning Blood|XOne|2016|Fighting|Namco Bandai Games|0.04
Star Ocean 5: Integrity and Faithlessness|PS3|2016|Role-Playing|Square Enix|0.04
BlazBlue: Chrono Phantasma Extend|PS3|2015|Action|PQube|0.04
Romance of the Three Kingdoms 13|PS3|2015|Action|Tecmo Koei|0.04
Hyperdimension Neptunia Victory II|PS4|2015|Role-Playing|Idea Factory International|0.04
Brothers: A Tale of Two Sons|XOne|2015|Adventure|505 Games|0.04
Song of the Deep|XOne|2016|Action|Insomniac Games|0.04
Monster High: New Ghoul in School|X360|2015|Action|Little Orbit|0.04
Rugby Challenge 3|PS4|2016|Sports|Alternative Software|0.04
Hatsune Miku: Project Diva X|PS4|2016|Misc|Sega|0.04
Don Bradman Cricket 14|XOne|2015|Sports|Tru Blu Entertainment|0.04
Resident Evil 6|XOne|2016|Shooter|Capcom|0.04
NHL Legacy|PS3|2015|Action|Electronic Arts|0.04
NHL 16|PS3|2015|Sports|Electronic Arts|0.04
Destiny: The Collection|XOne|2016|Shooter|Activision|0.04
Assassin's Creed Chronicles: China|PS4|2015|Action|Ubisoft|0.04
Batman: A Telltale Game Series|PS4|2016|Adventure|Telltale Games|0.04
Resident Evil 4 HD|PS4|2016|Shooter|Capcom|0.03
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden|PS3|2016|Misc|Tecmo Koei|0.03
Teenage Mutant Ninja Turtles: Mutants in Manhattan|XOne|2016|Action|Activision|0.03
Game of Thrones (Telltale)|X360|2015|Adventure|Telltale Games|0.03
JoJo's Bizarre Adventure: Eyes of Heaven|PS4|2015|Fighting|Namco Bandai Games|0.03
NASCAR Heat Evolution|PS4|2016|Racing|Dusenberry Martin Racing|0.03
Rugby League Live 3|PS3|2015|Action|Tru Blu Entertainment|0.03
Ukiyo no Shishi|PS3|2015|Action|Namco Bandai Games|0.03
Dragon's Dogma Online|PS3|2015|Role-Playing|Capcom|0.03
Atelier Sophie: The Alchemist of the Mysterious Book|PS3|2015|Role-Playing|Tecmo Koei|0.03
JoJo's Bizarre Adventure: Eyes of Heaven|PS3|2015|Fighting|Namco Bandai Games|0.03
Phantasy Star Online 2 Episode 4: Deluxe Package|PS4|2017|Role-Playing|Sega|0.03
MotoGP 15|XOne|2015|Racing|Milestone S.r.l.|0.03
Summon Night 6: Lost Borders|PS4|2016|Action|Namco Bandai Games|0.03
Teenage Mutant Ninja Turtles: Mutants in Manhattan|X360|2016|Action|Activision|0.03
Kung Fu Panda: Showdown of Legendary Legends|X360|2015|Action|Little Orbit|0.03
Bladestorm: Nightmare|PS3|2015|Action|Tecmo Koei|0.03
Game of Thrones (Telltale)|XOne|2015|Adventure|Telltale Games|0.03
Attack on Titan (KOEI)|XOne|2016|Action|Tecmo Koei|0.03
Rugby League Live 3|X360|2015|Action|Tru Blu Entertainment|0.03
Exist Archive: The Other Side of the Sky|PS4|2015|Role-Playing|Aksys Games|0.03
Ghostbusters (2016)|PS4|2016|Action|Activision|0.03
Aegis of Earth: Protonovus Assault|PS3|2016|Action|PQube|0.03
Pro Evolution Soccer 2017|XOne|2016|Sports|Konami Digital Entertainment|0.03
Let's Sing 2016|PS4|2015|Action|FuRyu Corporation|0.03
Sengoku Basara: Sanada Yukimura-Den|PS4|2016|Action|Capcom|0.03
Steins;Gate 0|PS3|2015|Adventure|5pb|0.03
The Peanuts Movie: Snoopy's Grand Adventure|PS4|2015|Action|Activision|0.03
Back to the Future: The Game|X360|2015|Adventure|Telltale Games|0.03
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2|PS4|2015|Misc|Namco Bandai Games|0.03
The Peanuts Movie: Snoopy's Grand Adventure|X360|2015|Action|Activision|0.03
Psycho-Pass: Mandatory Happiness|PS4|2016|Adventure|Nippon Ichi Software|0.03
Ghostbusters (2016)|XOne|2016|Action|Activision|0.02
Naruto Shippuden: Ultimate Ninja Storm Collection|PS3|2016|Action|Namco Bandai Games|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1|PS3|2015|Action|Namco Bandai Games|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6|PS3|2015|Adventure|Namco Bandai Games|0.02
Blade Arcus from Shining EX|PS4|2015|Fighting|Sega|0.02
Rugby Challenge 3|X360|2016|Sports|Alternative Software|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9|PS3|2016|Misc|Namco Bandai Games|0.02
Tokyo Xanadu eX+|PS4|2016|Role-Playing|Nihon Falcom Corporation|0.02
NASCAR Heat Evolution|XOne|2016|Racing|Dusenberry Martin Racing|0.02
Ride|X360|2015|Racing|Milestone S.r.l.|0.02
Prison Architect|PS4|2016|Action|Introversion Software|0.02
Rugby League Live 3|PS4|2015|Action|Tru Blu Entertainment|0.02
Blade Arcus from Shining EX|PS3|2015|Fighting|Sega|0.02
Rugby World Cup 2015|XOne|2015|Sports|Ubisoft|0.02
Winning Post 8 2015|PS3|2015|Action|Tecmo Koei|0.02
Aegis of Earth: Protonovus Assault|PS4|2016|Action|PQube|0.02
Kung Fu Panda: Showdown of Legendary Legends|PS3|2015|Action|Little Orbit|0.02
Valentino Rossi: The Game|XOne|2016|Racing|Namco Bandai Games|0.02
Final Fantasy XIV: Heavensward|PS3|2015|Action|Square Enix|0.02
Dead Rising|PS4|2016|Action|Capcom|0.02
The Technomancer|XOne|2016|Role-Playing|Focus Home Interactive|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7|PS3|2015|Misc|Namco Bandai Games|0.02
Anima - Gate of Memories|PS4|2016|Action|Avanquest|0.02
Resident Evil: Umbrella Corps|PS4|2016|Action|Capcom|0.02
Legend of Kay Anniversary|PS4|2015|Action|Nordic Games|0.02
Dino Dini's Kick Off Revival|PS4|2016|Sports|Avanquest|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.5|PS3|2015|Action|Namco Bandai Games|0.02
Natsuiro High School: Seishun Hakusho|PS4|2015|Action|D3Publisher|0.02
Black Rose Valkyrie|PS4|2016|Role-Playing|Idea Factory|0.02
Agatha Christie's The ABC Murders|PS4|2016|Adventure|Microids|0.02
Sengoku Basara: Sanada Yukimura-Den|PS3|2016|Action|Capcom|0.02
Natsuiro High School: Seishun Hakusho|PS3|2015|Action|D3Publisher|0.02
The Talos Principle|PS4|2015|Puzzle|Devolver Digital|0.02
Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special|PS3|2015|Action|Arc System Works|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.8|PS3|2016|Misc|Namco Bandai Games|0.02
Call of Duty: Modern Warfare Trilogy|PS3|2016|Shooter|Activision|0.02
The Crew: Wild Run|XOne|2015|Action|Ubisoft|0.02
Toukiden 2|PS3|2016|Action|Tecmo Koei|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2|PS3|2015|Action|Namco Bandai Games|0.02
Winning Post 8 2016|PS4|2016|Simulation|Tecmo Koei|0.02
Back to the Future: The Game|XOne|2015|Adventure|Telltale Games|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3|PS3|2015|Action|Namco Bandai Games|0.02
This War of Mine|PS4|2016|Action|Deep Silver|0.02
Arslan: The Warriors of Legend|XOne|2016|Action|Tecmo Koei|0.02
MX vs. ATV Supercross Encore|XOne|2015|Sports|Nordic Games|0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4|PS3|2015|Action|Namco Bandai Games|0.02
NHL 16|X360|2015|Sports|Electronic Arts|0.02
XCOM 2|XOne|2016|Strategy|Take-Two Interactive|0.02
Call of Duty: Modern Warfare Trilogy|X360|2016|Shooter|Activision|0.02
WRC 5: FIA World Rally Championship|X360|2015|Sports|Bigben Interactive|0.02
Assault Suit Leynos|PS4|2016|Shooter|Rising Star Games|0.02
Koihime Enbu|PS4|2016|Fighting|Yeti|0.02
Professional Farmer 2016|PS4|2015|Action|Namco Bandai Games|0.02
Barbie and Her Sisters Puppy Rescue|PS3|2015|Action|Namco Bandai Games|0.02
Worms: WMD|PS4|2016|Action|Sold Out|0.02
Touhou Genso Rondo: Bullet Ballet|PS4|2016|Shooter|Nippon Ichi Software|0.02
Xblaze: Lost Memories|PS3|2015|Adventure|Arc System Works|0.02
God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4|PS4|2016|Action|Namco Bandai Games|0.01
Utawarerumono: Futari no Hakuoro|PS3|2016|Misc|Aqua Plus|0.01
WRC 5: FIA World Rally Championship|XOne|2015|Sports|Bigben Interactive|0.01
Raven's Cry|PS4|2015|Role-Playing|TopWare Interactive|0.01
God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5|PS4|2016|Misc|Namco Bandai Games|0.01
Resident Evil 5 HD|PS4|2016|Action|Capcom|0.01
Higurashi no Naku Koro ni Iki|PS3|2015|Action|Kaga Create|0.01
Dragon's Dogma Online: Season 2|PS4|2016|Action|Capcom|0.01
Republique|PS4|2016|Action|Nippon Ichi Software|0.01
Dynasty Warriors: Eiketsuden|PS4|2016|Action|Tecmo Koei|0.01
Carmageddon: Max Damage|XOne|2016|Action|Stainless Games|0.01
Broken Sword 5: The Serpent's Curse|XOne|2015|Adventure|Revolution Software|0.01
Batman: A Telltale Game Series|PS3|2016|Adventure|Telltale Games|0.01
Paragon|PS4|2016|Action|Epic Games|0.01
Assetto Corsa|XOne|2016|Racing|505 Games|0.01
Nitroplus Blasterz: Heroines Infinite Duel|PS3|2015|Fighting|Nitroplus|0.01
Chaos;Child|PS4|2015|Adventure|5pb|0.01
Handball 16|X360|2015|Sports|Bigben Interactive|0.01
Chaos;Child|PS3|2015|Adventure|5pb|0.01
Goat Simulator|XOne|2016|Simulation|Koch Media|0.01
Assassin's Creed Chronicles|XOne|2016|Action|Ubisoft|0.01
Rugby League Live 3|XOne|2015|Action|Tru Blu Entertainment|0.01
MotoGP 15|X360|2015|Racing|Milestone S.r.l.|0.01
Sébastien Loeb Rally Evo|XOne|2016|Racing|Milestone S.r.l|0.01
Hitman (2016)|XOne|2016|Action|Square Enix|0.01
God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7|PS4|2016|Action|Namco Bandai Games|0.01
Mighty No. 9|XOne|2016|Platform|Deep Silver|0.01
Resident Evil 4 HD|XOne|2016|Shooter|Capcom|0.01
Farming 2017 - The Simulation|PS4|2016|Simulation|UIG Entertainment|0.01
Rugby Challenge 3|XOne|2016|Sports|Alternative Software|0.01